Entity,Field Name,LCFS/CARB Required,BOOST Schema Required,Field Category,Description,Collection Complexity,Data Source
LCFSPathway,@context,No,Yes,BOOST Standard,JSON-LD context for semantic web compatibility,N/A,System Generated
LCFSPathway,@type,No,Yes,BOOST Standard,Entity type declaration (JSON-LD),N/A,System Generated
LCFSPathway,@id,No,Yes,BOOST Standard,Unique URI identifier (JSON-LD),N/A,System Generated
LCFSPathway,pathwayId,Yes,Yes,CARB Required,CARB-assigned pathway identifier,N/A,CARB Records
LCFSPathway,pathwayType,Yes,Yes,CARB Required,CARB pathway certification tier (Lookup_Table/Tier_1/Tier_2),N/A,CARB Records
LCFSPathway,feedstockCategory,Yes,Yes,CARB Required,Primary feedstock type for pathway,N/A,CARB Records
LCFSPathway,fuelProduct,Yes,Yes,CARB Required,Final fuel product produced,N/A,CARB Records
LCFSPathway,facilityLocation,Yes,Yes,CARB Required,Production facility location,N/A,CARB Records
LCFSPathway,carbonIntensity,Yes,Yes,CARB Required,Certified carbon intensity in gCO2e/MJ,N/A,CARB Records
LCFSPathway,energyEconomyRatio,Yes,Yes,CARB Required,Energy economy ratio multiplier for credit calculation,N/A,CARB Records
LCFSPathway,certificationDate,Yes,Yes,CARB Required,CARB pathway certification date,N/A,CARB Records
LCFSPathway,verificationStatus,Yes,Yes,CARB Required,Current CARB verification status,N/A,CARB Records
LCFSPathway,caGreetVersion,Yes,Yes,CARB Required,CA-GREET model version used for certification,N/A,CARB Records
LCFSPathway,facilityCapacity,No,No,BOOST Optional,Annual production capacity in gallons,Reasonable,Facility Operations
LCFSPathway,geographicScope,No,No,BOOST Optional,Geographic applicability of pathway,Reasonable,Supply Chain Analysis
LCFSPathway,expirationDate,No,No,BOOST Optional,Pathway certification expiration date,Reasonable,CARB Records
LCFSPathway,processDescription,No,No,BOOST Optional,Detailed production process description,Robust,Engineering Documentation
LCFSPathway,lastUpdated,No,No,BOOST Optional,Timestamp of most recent pathway data update,Robust,System Generated
LCFSReporting,@context,No,Yes,BOOST Standard,JSON-LD context for semantic web compatibility,N/A,System Generated
LCFSReporting,@type,No,Yes,BOOST Standard,Entity type declaration (JSON-LD),N/A,System Generated
LCFSReporting,@id,No,Yes,BOOST Standard,Unique URI identifier (JSON-LD),N/A,System Generated
LCFSReporting,reportingId,No,Yes,BOOST Required,Internal unique identifier for quarterly report,Reasonable,System Generated
LCFSReporting,regulatedEntityId,Yes,Yes,CARB Required,Reference to regulated Organization entity,N/A,CARB AFP
LCFSReporting,reportingPeriod,Yes,Yes,CARB Required,Reporting quarter in YYYY-QN format,N/A,CARB AFP
LCFSReporting,totalFuelVolume,Yes,Yes,CARB Required,Total fuel volume reported in gallons,N/A,CARB AFP
LCFSReporting,totalCreditsGenerated,Yes,Yes,CARB Required,Total LCFS credits generated in reporting period,N/A,CARB AFP
LCFSReporting,totalDeficitsIncurred,Yes,Yes,CARB Required,Total LCFS deficits incurred in reporting period,N/A,CARB AFP
LCFSReporting,netPosition,Yes,Yes,CARB Required,Net credit/deficit position,N/A,CARB AFP
LCFSReporting,complianceStatus,Yes,Yes,CARB Required,Overall compliance status for reporting period,N/A,CARB AFP
LCFSReporting,submissionDate,Yes,No,CARB Required,Date and time report was submitted to CARB,N/A,CARB AFP
LCFSReporting,pathwaySummary,Yes,No,CARB Required,Summary of activity by LCFS pathway (array),N/A,CARB AFP
LCFSReporting,verificationRequired,No,No,BOOST Optional,Flag indicating if third-party verification required,Reasonable,Business Logic
LCFSReporting,reportingDeadline,No,No,BOOST Optional,CARB deadline for report submission,Reasonable,System Calculated
LCFSReporting,calculationParameters,No,No,BOOST Optional,Parameters used for credit calculations,Reasonable,CARB Regulations
LCFSReporting,verificationDate,No,No,BOOST Optional,Date of third-party verification completion,Robust,Verification Provider
LCFSReporting,VerificationStatementId,No,No,BOOST Optional,Reference to VerificationStatement entity,Robust,BOOST Supply Chain
LCFSReporting,transactionIds,No,No,BOOST Optional,Array of Transaction entity IDs in report,Robust,BOOST Data Lineage
LCFSReporting,complianceMetrics,No,No,BOOST Optional,Business intelligence metrics (credit value environmental impact),Robust,Business Analytics
LCFSReporting,lastUpdated,No,No,BOOST Optional,Timestamp of most recent report update,Robust,System Generated
